,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Dixon Drive,Leon,Clark,64,Head,Married,Male,"Engineer, energy",None,Christian
1,1,Dixon Drive,Lauren,Turnbull,63,Wife,Married,Female,Psychiatrist,None,Christian
2,2,Dixon Drive,Katie,Kirby,57,Head,Single,Female,Unemployed,None,Christian
3,2,Dixon Drive,Jordan,Kirby,30,Son,Single,Male,"Engineer, biomedical",None,Christian
4,2,Dixon Drive,Gareth,Kirby,28,Son,Single,Male,"Surveyor, building control",None,Christian
5,2,Dixon Drive,Abigail,Kirby,26,Daughter,Single,Female,Corporate treasurer,None,Christian
6,3,Dixon Drive,Marilyn,Warner,66,Head,Married,Female,Unemployed,None,Christian
7,3,Dixon Drive,William,Warner,69,Husband,Married,Male,Retired Medical secretary,None,Christian
8,3,Dixon Drive,Francesca,Thomas,18,Granddaughter,Single,Female,Student,None,None
9,3,Dixon Drive,Ruth,Harris,17,Granddaughter,NA,Female,Student,None,NA
10,4,Dixon Drive,Georgina,Allen,30,Head,Single,Female,Print production planner,None,None
11,5,Dixon Drive,Chloe,Booth,55,Head,Married,Female,Multimedia specialist,None,None
12,5,Dixon Drive,Adrian,Booth,54,Husband,Married,Male,Tax adviser,None,None
13,5,Dixon Drive,Alison,Booth,22,Daughter,Single,Female,University Student,None,None
14,5,Dixon Drive,Jay,Booth,8,Son,NA,Male,Student,None,NA
15,1,Lee Isle,Leslie,Burrows,20,Head,Single,Male,University Student,None,None
16,1,Lee Isle,Sheila,Young,21,None,Single,Female,University Student,None,Catholic
17,1,Lee Isle,Kevin,Morris,18,None,Single,Male,University Student,None,None
18,1,Lee Isle,Jane,Read,19,None,Single,Female,University Student,None,None
19,1,Lee Isle,Jordan,Ashton,19,None,Single,Male,University Student,None,Catholic
20,2,Lee Isle,Joshua,Roberts,25,Head,Married,Male,Music therapist,None,Christian
21,2,Lee Isle,Julia,Roberts,23,Wife,Married,Female,Airline pilot,None,None
22,2,Lee Isle,John,Abbott,28,Lodger,Single,Male,Retail banker,None,Christian
23,2,Lee Isle,Alexandra,O'Neill,22,Lodger,Widowed,Female,University Student,None,Catholic
24,3,Lee Isle,Craig,Gray,45,Head,Single,Male,General practice doctor,None,None
25,3,Lee Isle,Katherine,Ryan,37,Partner,Single,Female,Hospital doctor,None,None
26,4,Lee Isle,Kieran,Grant,45,Head,Single,Male,Communications engineer,None,Christian
27,5,Lee Isle,Kelly,Burton,49,Head,Single,Female,Sport and exercise psychologist,None,Catholic
28,5,Lee Isle,Mary,Burton,16,Daughter,NA,Female,Student,None,NA
29,6,Lee Isle,Georgina,Edwards,27,Head,Divorced,Female,Unemployed,None,Muslim
30,6,Lee Isle,Sarah,Edwards,10,Daughter,NA,Female,Student,None,NA
31,7,Lee Isle,Elaine,Thomas,70,Head,Married,Female,Retired Warden/ranger,None,Christian
32,7,Lee Isle,Paul,Thomas,77,Husband,Married,Male,"Retired Surveyor, planning and development",None,None
33,8,Lee Isle,Katy,Moore,43,Head,Divorced,Female,Unemployed,None,Christian
34,8,Lee Isle,Cameron,Moore,16,Son,NA,Male,Student,None,NA
35,9,Lee Isle,Elizabeth,Matthews,41,Head,Single,Female,Equities trader,None,Catholic
36,10,Lee Isle,Clifford,Singh,35,Head,Single,Male,Hydrographic surveyor,None,None
37,11,Lee Isle,Geoffrey,Mason,48,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
38,11,Lee Isle,Lucy,Joyce,36,None,Single,Female,Health physicist,None,Christian
39,12,Lee Isle,Jeffrey,Reed,23,Head,Married,Male,Museum/gallery exhibitions officer,None,Methodist
40,12,Lee Isle,Rebecca,Reed,20,Wife,Married,Female,University Student,None,Methodist
41,13,Lee Isle,Rosie,Bailey,43,Head,Married,Female,Race relations officer,None,None
42,13,Lee Isle,Ronald,Bailey,51,Husband,Married,Male,Secretary/administrator,None,None
43,14,Lee Isle,Chloe,Edwards,37,Head,Married,Female,Pension scheme manager,None,Sikh
44,14,Lee Isle,Ross,Edwards,40,Husband,Married,Male,Call centre manager,None,Sikh
45,14,Lee Isle,Callum,Edwards,9,Son,NA,Male,Student,None,NA
46,15,Lee Isle,Ellie,Smith,78,Head,Married,Female,"Retired Engineer, manufacturing",None,None
47,15,Lee Isle,Trevor,Smith,79,Husband,Married,Male,"Retired Designer, jewellery",None,None
48,15,Lee Isle,Sarah,Smith,40,Daughter,Single,Female,"Lecturer, higher education",None,None
49,16,Lee Isle,Heather,Atkinson,70,Head,Married,Female,Retired Comptroller,None,None
50,16,Lee Isle,Jeffrey,Atkinson,72,Husband,Married,Male,"Retired Psychotherapist, dance movement",None,None
51,17,Lee Isle,Lynne,Perkins,40,Head,Single,Female,Town planner,None,None
52,17,Lee Isle,Barry,Perkins,7,Son,NA,Male,Student,None,NA
53,17,Lee Isle,Danielle,Perkins,5,Daughter,NA,Female,Student,None,NA
54,18,Lee Isle,Joshua,Gilbert,69,Head,Widowed,Male,Retired Corporate investment banker,None,Christian
55,19,Lee Isle,Amanda,Thornton,46,Head,Divorced,Female,Unemployed,None,Christian
56,19,Lee Isle,Jeffrey,Thornton,5,Son,NA,Male,Student,None,NA
57,20,Lee Isle,Stacey,Martin,36,Head,Single,Female,Prison officer,None,Methodist
58,20,Lee Isle,Terence,Martin,8,Son,NA,Male,Student,None,NA
59,20,Lee Isle,Mohammad,Martin,6,Son,NA,Male,Student,None,NA
60,20,Lee Isle,Tom,Martin,3,Son,NA,Male,Child,None,NA
61,20,Lee Isle,Leslie,Martin,2,Son,NA,Male,Child,None,NA
62,21,Lee Isle,Vincent,Bell,83,Head,Widowed,Male,"Retired Pharmacist, community",None,None
63,22,Lee Isle,Aimee,Lee,35,Head,Single,Female,Paramedic,None,None
64,22,Lee Isle,Alice,Lee,0,Daughter,NA,Female,Child,None,NA
65,22,Lee Isle,Karen,Jennings,40,Lodger,Single,Female,Broadcast engineer,None,None
66,22,Lee Isle,Michelle,Singh,24,Lodger,Single,female,Control and instrumentation engineer,None,None
67,23,Lee Isle,Charlotte,Fletcher,25,Head,Married,Female,Sports administrator,None,Catholic
68,23,Lee Isle,Kevin,Fletcher,25,Husband,Married,Male,Dramatherapist,None,Catholic
69,1,Berry Hollow,Jordan,Taylor,26,Head,Divorced,Male,Unemployed,None,None
70,1,Berry Hollow,Vanessa,Pearce-Taylor,1,Daughter,NA,Female,Child,None,NA
71,1,Berry Hollow,Maureen,Robinson,19,Sibling,Single,Female,University Student,None,None
72,1,Berry Hollow,Megan,Field,34,Visitor,Single,Female,"Copywriter, advertising",None,None
73,2,Berry Hollow,Lindsey,Archer,56,Head,Married,Female,"Administrator, charities/voluntary organisations",None,Catholic
74,2,Berry Hollow,Patrick,Long,58,Husband,Married,Male,"Scientist, forensic",None,None
75,2,Berry Hollow,Elizabeth,Archer,26,Daughter,Divorced,Female,Chief Operating Officer,None,None
76,2,Berry Hollow,James,Archer,25,Son,Single,Male,"Therapist, horticultural",None,Catholic
77,2,Berry Hollow,Fiona,Archer,7,Daughter,NA,Female,Student,None,NA
78,3,Berry Hollow,Margaret,Davies,34,Head,Divorced,Female,Unemployed,None,Sikh
79,3,Berry Hollow,Donald,Davies,2,Son,NA,Male,Child,None,NA
80,3,Berry Hollow,Rosemary,Wood,59,Lodger,Single,Female,Nature conservation officer,None,Christian
81,3,Berry Hollow,Lisa,Parker,43,Lodger,Divorced,Female,"Engineer, materials",None,Christian
82,4,Berry Hollow,Sylvia,Parkes,37,Head,Married,Female,Mechanical engineer,None,Christian
83,4,Berry Hollow,George,Parkes,37,Husband,Married,Male,Dealer,None,Christian
84,4,Berry Hollow,Georgina,Parkes,13,Daughter,NA,Female,Student,None,NA
85,4,Berry Hollow,Lee,Parkes,10,Son,NA,Male,Student,None,NA
86,4,Berry Hollow,Cheryl,Parkes,10,Daughter,NA,Female,Student,None,NA
87,4,Berry Hollow,Geraldine,Parkes,9,Daughter,NA,Female,Student,None,NA
88,5,Berry Hollow,Heather,Gill,32,Head,Married,Female,Environmental manager,None,Catholic
89,5,Berry Hollow,Tom,Gill,34,Husband,Married,Male,Exercise physiologist,None,None
90,5,Berry Hollow,Harriet,Gill,9,Daughter,NA,Female,Student,None,NA
91,6,Berry Hollow,Geraldine,Barnes-Reynolds,45,Head,Married,f,"Production designer, theatre/television/film",None,Muslim
92,6,Berry Hollow,Simon,Barnes-Reynolds,44,Husband,Married,Male,Investment analyst,None,Muslim
93,6,Berry Hollow,Joanna,Barnes-Reynolds,3,Daughter,NA,Female,Child,None,NA
94,6,Berry Hollow,Jacqueline,Barnes-Reynolds,0,Daughter,NA,Female,Child,None,NA
95,6,Berry Hollow,Tom,Perry,49,Lodger,Single,Male,Animator,None,Methodist
96,6,Berry Hollow,Kevin,Hammond,40,Lodger,Divorced,Male,Risk manager,None,Christian
